RegionID,RegionName,City,State,Region,Metro,CountyName,SizeRank,2019-10
96293,91105,Pasadena,CA,,Los Angeles-Long Beach-Anaheim,Los Angeles County,5437,1293800
97838,94704,Berkeley,CA,,San Francisco-Oakland-Hayward,Alameda County,3910,1289800
97746,94539,Fremont,CA,,San Francisco-Oakland-Hayward,Alameda County,1108,1287200
96009,90028,Los Angeles,CA,,Los Angeles-Long Beach-Anaheim,Los Angeles County,648,1284500
72443,33140,Miami Beach,FL,,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1990,1282200
96006,90025,Los Angeles,CA,,Los Angeles-Long Beach-Anaheim,Los Angeles County,215,1281400
96426,91436,Los Angeles,CA,,Los Angeles-Long Beach-Anaheim,Los Angeles County,5801,1280000
96019,90038,Los Angeles,CA,,Los Angeles-Long Beach-Anaheim,Los Angeles County,2365,1277100
93279,80202,Denver,CO,,Denver-Aurora-Lakewood,Denver County,2268,1276300
96126,90290,Topanga,CA,,Los Angeles-Long Beach-Anaheim,Los Angeles County,7711,1272000
97813,94611,Oakland,CA,,San Francisco-Oakland-Hayward,Alameda County,857,1270000
96123,90277,Redondo Beach,CA,,Los Angeles-Long Beach-Anaheim,Los Angeles County,853,1268800
97126,93103,Santa Barbara,CA,,Santa Maria-Santa Barbara,Santa Barbara County,4986,1266500
97993,95125,San Jose,CA,,San Jose-Sunnyvale-Santa Clara,Santa Clara County,458,1263100
97988,95120,San Jose,CA,,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2452,1261300
96037,90056,Ladera Heights,CA,,Los Angeles-Long Beach-Anaheim,Los Angeles County,6734,1259800
96412,91403,Los Angeles,CA,,Los Angeles-Long Beach-Anaheim,Los Angeles County,2749,1258000
97985,95117,San Jose,CA,,San Jose-Sunnyvale-Santa Clara,Santa Clara County,3220,1252900
58758,2446,Brookline,MA,,Boston-Cambridge-Newton,Norfolk County,1849,1248200
96103,90245,El Segundo,CA,,Los Angeles-Long Beach-Anaheim,Los Angeles County,4753,1243800
96280,91030,South Pasadena,CA,,Los Angeles-Long Beach-Anaheim,Los Angeles County,3375,1238200
97920,95008,Campbell,CA,,San Jose-Sunnyvale-Santa Clara,Santa Clara County,557,1236900
58793,2535,Chilmark,MA,,Vineyard Haven,Dukes County,9793,1235500
97547,94085,Sunnyvale,CA,,San Jose-Sunnyvale-Santa Clara,Santa Clara County,4076,1234300
66132,20008,Washington,DC,,Washington-Arlington-Alexandria,District of Columbia,1017,1232500
98212,95452,Kenwood,CA,,Santa Rosa,Sonoma County,10470,1226700
59248,3854,New Castle,NH,,Boston-Cambridge-Newton,Rockingham County,11372,1217800
96639,92091,Rancho Santa Fe,CA,,San Diego-Carlsbad,San Diego County,10742,1210600
62310,11963,Sag Harbor,NY,,New York-Newark-Jersey City,Suffolk County,5719,1202900
93849,81657,Vail,CO,,Edwards,Eagle County,7163,1201700
99572,98112,Seattle,WA,,Seattle-Tacoma-Bellevue,King County,3258,1201400
98853,96712,Haleiwa,HI,,Urban Honolulu,Honolulu County,7523,1200500
73055,34236,Sarasota,FL,,North Port-Sarasota-Bradenton,Sarasota County,4133,1199000
72457,33154,Bal Harbour,FL,,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,4019,1198700
97992,95124,San Jose,CA,,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1090,1195700
97951,95050,Santa Clara,CA,,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1588,1187600
72916,33924,Captiva,FL,,Cape Coral-Fort Myers,Lee County,11337,1184100
97537,94063,Redwood City,CA,,San Francisco-Oakland-Hayward,San Mateo County,2741,1182900
58776,2468,Newton,MA,,Boston-Cambridge-Newton,Middlesex County,8665,1182300
97127,93105,Santa Barbara,CA,,Santa Maria-Santa Barbara,Santa Barbara County,3194,1179400
96095,90230,Culver City,CA,,Los Angeles-Long Beach-Anaheim,Los Angeles County,2388,1178100
97567,94112,San Francisco,CA,,San Francisco-Oakland-Hayward,San Francisco County,445,1177700
97840,94706,Albany,CA,,San Francisco-Oakland-Hayward,Alameda County,4394,1177400
97955,95054,Santa Clara,CA,,San Jose-Sunnyvale-Santa Clara,Santa Clara County,4282,1175700
97896,94960,San Anselmo,CA,,San Francisco-Oakland-Hayward,Marin County,5589,1173500
96424,91423,Los Angeles,CA,,Los Angeles-Long Beach-Anaheim,Los Angeles County,1563,1172500
98002,95134,San Jose,CA,,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2026,1172500
96122,90275,Rancho Palos Verdes,CA,,Los Angeles-Long Beach-Anaheim,Los Angeles County,1354,1168400
98952,96821,Honolulu,HI,,Urban Honolulu,Honolulu County,5237,1165900
96151,90404,Santa Monica,CA,,Los Angeles-Long Beach-Anaheim,Los Angeles County,3319,1163300
96026,90045,Los Angeles,CA,,Los Angeles-Long Beach-Anaheim,Los Angeles County,1098,1159100
98203,95442,Glen Ellen,CA,,Santa Rosa,Sonoma County,9038,1155600
97540,94066,San Bruno,CA,,San Francisco-Oakland-Hayward,San Mateo County,1213,1155100
97701,94401,San Mateo,CA,,San Francisco-Oakland-Hayward,San Mateo County,2063,1150300
67193,22209,Arlington,VA,,Washington-Arlington-Alexandria,Arlington County,4187,1145900
96651,92109,San Diego,CA,,San Diego-Carlsbad,San Diego County,183,1144000
99569,98109,Seattle,WA,,Seattle-Tacoma-Bellevue,King County,463,1143800
97939,95033,Lexington Hills,CA,,San Jose-Sunnyvale-Santa Clara,Santa Clara County,7201,1140900
96580,92007,Encinitas,CA,,San Diego-Carlsbad,San Diego County,6182,1138300
77821,45804,Lima,OH,,Lima,Allen County,5378,26600
68044,24216,Appalachia,VA,,Big Stone Gap,Wise County,9885,26800
68718,25703,Huntington,WV,,Huntington-Ashland,Cabell County,8231,31800
74646,38108,Memphis,TN,,Memphis,Shelby County,5040,34700
85070,61603,Peoria,IL,,Peoria,Peoria County,5509,35100
90578,74884,Wewoka,OK,,,Seminole County,8111,37400
68868,26050,Newell,WV,,Weirton-Steubenville,Hancock County,11105,38700
73976,36617,Mobile,AL,,Mobile,Mobile County,6106,39400
84819,61101,Rockford,IL,,Rockford,Winnebago County,4538,39600
65063,17401,York,PA,,York-Hanover,York County,5146,40700
71622,31701,Albany,GA,,Albany,Dougherty County,4529,41700
86363,64126,Kansas City,MO,,Kansas City,Jackson County,8039,41700
90093,73570,Tipton,OK,,,Tillman County,11414,42700
90185,73834,Buffalo,OK,,,Harper County,11216,43100
86362,64125,Kansas City,MO,,Kansas City,Jackson County,10995,44900
77210,44505,Youngstown,OH,,Youngstown-Warren-Boardman,Mahoning County,5050,45200
87509,67214,Wichita,KS,,Wichita,Sedgwick County,5496,47000
63502,14301,Niagara Falls,NY,,Buffalo-Cheektowaga-Niagara Falls,Niagara County,5932,47100
90018,73438,Healdton,OK,,Ardmore,Carter County,9477,47500
90091,73568,Temple,OK,,Lawton,Cotton County,11356,48100
78288,46806,Fort Wayne,IN,,Fort Wayne,Allen County,4242,48400
84478,60426,Harvey,IL,,Chicago-Naperville-Elgin,Cook County,4307,48400
77120,44306,Akron,OH,,Akron,Summit County,4003,48700
91351,76301,Wichita Falls,TX,,Wichita Falls,Wichita County,4942,48700
89933,73108,Oklahoma City,OK,,Oklahoma City,Oklahoma County,6130,48900
63727,14779,Town of Salamanca,NY,,Olean,Cattaraugus County,7589,49200
84820,61102,Rockford,IL,,Rockford,Winnebago County,5443,50500
85955,63137,Bellefontaine Neighbors,MO,,St. Louis,Saint Louis County,4736,50700
78635,47512,Bicknell,IN,,Vincennes,Knox County,9250,51400
90478,74631,Blackwell,OK,,Ponca City,Kay County,7553,51600
70333,29146,Springfield,SC,,Orangeburg,Orangeburg County,10967,51600
87428,67045,Eureka,KS,,,Greenwood County,9248,51800
69522,27823,Enfield,NC,,Roanoke Rapids,Halifax County,7595,52200
71698,31816,Manchester,GA,,Atlanta-Sandy Springs-Roswell,Meriwether County,8013,52300
68591,25387,Charleston,WV,,Charleston,Kanawha County,8182,52300
85954,63136,Jennings,MO,,St. Louis,Saint Louis County,765,53000
90242,74030,Drumright,OK,,Tulsa,Creek County,9281,53000
87325,66783,Yates Center,KS,,,Woodson County,10384,53100
77646,45403,Dayton,OH,,Dayton,Montgomery County,5550,53200
69903,28377,Red Springs,NC,,Lumberton,Robeson County,6583,53600
87384,66956,Mankato,KS,,,Jewell County,11361,54000
74663,38127,Memphis,TN,,Memphis,Shelby County,1429,54300
71934,32324,Chattahoochee,FL,,Tallahassee,Gadsden County,8891,54300
90356,74339,Commerce,OK,,Miami,Ottawa County,10262,54500
69837,28301,Fayetteville,NC,,Fayetteville,Cumberland County,4874,54900
87541,67335,Cherryvale,KS,,Coffeyville,Montgomery County,9458,54900
84959,61420,Blandinsville,IL,,Macomb,McDonough County,11440,55000
87393,66967,Smith Center,KS,,,Smith County,10493,55200
87560,67361,Sedan,KS,,,Chautauqua County,10696,55300
74993,38761,Moorhead,MS,,Indianola,Sunflower County,10765,55300
64616,16502,Erie,PA,,Erie,Erie County,5198,55400
87558,67357,Parsons,KS,,Parsons,Labette County,5943,55400
78200,46613,South Bend,IN,,South Bend-Mishawaka,Saint Joseph County,6833,55700
73970,36611,Chickasaw,AL,,Mobile,Mobile County,7896,55700
69501,27801,Rocky Mount,NC,,Rocky Mount,Nash County,4656,55800
77128,44314,Akron,OH,,Akron,Summit County,4616,56500
90382,74401,Muskogee,OK,,Muskogee,Muskogee County,5127,56600
69570,27874,Scotland Neck,NC,,Roanoke Rapids,Halifax County,8727,56600
63941,15210,Pittsburgh,PA,,Pittsburgh,Allegheny County,3150,56900
75000,38771,Ruleville,MS,,Indianola,Sunflower County,9891,57200
87669,67576,St. John,KS,,,Stafford County,10801,57300
81284,53204,Milwaukee,WI,,Milwaukee-Waukesha-West Allis,Milwaukee County,2676,57400
64930,17104,Harrisburg,PA,,Harrisburg-Carlisle,Dauphin County,4904,57700
89954,73129,Oklahoma City,OK,,Oklahoma City,Oklahoma County,5130,58200
63699,14739,Town of Friendship,NY,,,Allegany County,9900,58200
77310,44710,Canton,OH,,Canton-Massillon,Stark County,6871,58300
66017,19604,Reading,PA,,Reading,Berks County,4330,58400
65250,17921,Ashland,PA,,Pottsville,Schuylkill County,7749,58800
87647,67547,Kinsley,KS,,,Edwards County,10726,58800
78284,46802,Fort Wayne,IN,,Fort Wayne,Allen County,6468,58900
86369,64132,Kansas City,MO,,Kansas City,Jackson County,5594,59200
69911,28386,Rennert,NC,,Lumberton,Robeson County,8458,59400
85952,63134,Berkeley,MO,,St. Louis,Saint Louis County,6110,59500
90586,74937,Heavener,OK,,Fort Smith,LeFlore County,8381,59500
90089,73566,Snyder,OK,,,Kiowa County,10979,59700
81009,52554,Eldon,IA,,Ottumwa,Wapello County,11280,59700
87543,67337,Coffeyville,KS,,Coffeyville,Montgomery County,6052,60000
90558,74854,Maud,OK,,Shawnee,Pottawatomie County,10977,60000
87366,66935,Belleville,KS,,,Republic County,9906,60600
77028,44128,Cleveland,OH,,Cleveland-Elyria,Cuyahoga County,2344,60700
64531,16301,Oil City,PA,,Oil City,Venango County,5062,60700
69560,27864,Pinetops,NC,,Rocky Mount,Edgecombe County,8801,60800
63677,14715,Town of Bolivar,NY,,,Allegany County,9949,60800
90454,74554,Krebs,OK,,McAlester,Pittsburg County,10953,61300
63927,15145,Turtle Creek,PA,,Pittsburgh,Allegheny County,7212,61400
87449,67070,Kiowa,KS,,,Barber County,11389,61700
